SOA,nFrames,MaskOnsetTime,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,WarEsEinFehler_Training.thisRepN,WarEsEinFehler_Training.thisTrialN,WarEsEinFehler_Training.thisN,WarEsEinFehler_Training.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WarEsEinFehler.thisRepN,WarEsEinFehler.thisTrialN,WarEsEinFehler.thisN,WarEsEinFehler.thisIndex,key_resp_4.keys,key_resp_4.rt,Orientrierung,expectedAnswer,SenktOderWaag.keys,SenktOderWaag.corr,SenktOderWaag.rt,Rating1,Rating1RT,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,participant,gender,age,handedness,frameRate,expName,date,
,,,,,,,,,,,,,,,,,,,,,,,space,18.3905873559,,,,,,,,,,,,20,f,20,r,120.353896881,MaskierungsExperimentExpra,2016_Dez_21_1643,
0.133,16,1.133,0,0,0,0,,,,,,,,,,,,,,,,,,,0,a,a,1,2.70832544696,0.412680247196,4.39070412776,,,,,20,f,20,r,120.353896881,MaskierungsExperimentExpra,2016_Dez_21_1643,
0.067,8,1.067,0,1,1,1,,,,,,,,,,,,,,,,,,,90,s,s,1,5.71652289402,-0.843778133822,3.26586573164,,,,,20,f,20,r,120.353896881,MaskierungsExperimentExpra,2016_Dez_21_1643,
0.033,4,1.033,0,2,2,2,,,,,,,,,,,,,,,,,,,90,s,s,1,2.50001219047,-1.0,0.957759071471,,,,,20,f,20,r,120.353896881,MaskierungsExperimentExpra,2016_Dez_21_1643,
0.017,2,1.017,0,3,3,3,,,,,,,,,,,,,,,,,,,90,s,s,1,3.70826224901,-1.0,1.66604153099,,,,,20,f,20,r,120.353896881,MaskierungsExperimentExpra,2016_Dez_21_1643,
0.0083,1,1.0083,0,4,4,4,,,,,,,,,,,,,,,,,,,0,a,s,0,3.3,-1.0,1.29937700301,,,,,20,f,20,r,120.353896881,MaskierungsExperimentExpra,2016_Dez_21_1643,
0.133,16,1.133,1,0,5,0,,,,,,,,,,,,,,,,,,,90,s,a,0,2.10001571929,0.873014419776,2.14934155441,,,,,20,f,20,r,120.353896881,MaskierungsExperimentExpra,2016_Dez_21_1643,
0.067,8,1.067,1,1,6,1,,,,,,,,,,,,,,,,,,,90,s,a,0,1.78334686047,0.460318913558,2.24934412083,,,,,20,f,20,r,120.353896881,MaskierungsExperimentExpra,2016_Dez_21_1643,
0.033,4,1.033,1,2,7,2,,,,,,,,,,,,,,,,,,,0,a,s,0,1.7833885647,0.333333333333,2.07435382508,,,,,20,f,20,r,120.353896881,MaskierungsExperimentExpra,2016_Dez_21_1643,
0.017,2,1.017,1,3,8,3,,,,,,,,,,,,,,,,,,,0,a,a,1,1.80005614031,0.222217135882,1.76603800218,,,,,20,f,20,r,120.353896881,MaskierungsExperimentExpra,2016_Dez_21_1643,
