SOA,nFrames,MaskOnsetTime,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,WarEsEinFehler_Training.thisRepN,WarEsEinFehler_Training.thisTrialN,WarEsEinFehler_Training.thisN,WarEsEinFehler_Training.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WarEsEinFehler.thisRepN,WarEsEinFehler.thisTrialN,WarEsEinFehler.thisN,WarEsEinFehler.thisIndex,key_resp_4.keys,key_resp_4.rt,Orientrierung,expectedAnswer,SenktOderWaag.keys,SenktOderWaag.corr,SenktOderWaag.rt,Rating1,Rating1RT,key_resp_3.keys,key_resp_3.rt,participant,gender,age,handedness,frameRate,expName,date,
,,,,,,,,,,,,,,,,,,,,,,,space,49.4432841394,,,,,,,,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.133,16,1.133,0,0,0,0,,,,,,,,,,,,,,,,,,,90,s,s,1,2.8500058386,0.563469901579,4.35706861441,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.067,8,1.067,0,1,1,1,,,,,,,,,,,,,,,,,,,0,a,a,1,2.73336673951,-0.921904325933,3.19923790288,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.033,4,1.033,0,2,2,2,,,,,,,,,,,,,,,,,,,0,a,a,1,3.97498675088,-0.859403372244,0.97436118707,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.017,2,1.017,0,3,3,3,,,,,,,,,,,,,,,,,,,90,s,s,1,8.90790674159,-0.492210269322,2.64097577689,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.0083,1,1.0083,0,4,4,4,,,,,,,,,,,,,,,,,,,0,a,a,1,2.65837992447,-0.187518120089,2.49096332977,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.133,16,1.133,1,0,5,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.85851543122,0.69839017319,3.30749284291,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.067,8,1.067,1,1,6,1,,,,,,,,,,,,,,,,,,,90,s,s,1,1.05015931025,0.357137407492,0.966049208453,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.033,4,1.033,1,2,7,2,,,,,,,,,,,,,,,,,,,90,s,a,0,2.22506695137,-0.875028610666,3.44086850071,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.017,2,1.017,1,3,8,3,,,,,,,,,,,,,,,,,,,0,a,s,0,2.93338130392,-0.359395742733,3.78250397474,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.0083,1,1.0083,1,4,9,4,,,,,,,,,,,,,,,,,,,0,a,s,0,2.58341107434,-0.515648126955,1.45768558072,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.133,16,1.133,2,0,10,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.44177829505,0.793636987869,2.35769770704,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.067,8,1.067,2,1,11,1,,,,,,,,,,,,,,,,,,,0,a,s,0,2.17506162606,0.690455481804,1.53265603486,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.033,4,1.033,2,2,12,2,,,,,,,,,,,,,,,,,,,0,a,a,1,2.01672885947,-0.390646219577,2.86600294881,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.017,2,1.017,2,3,13,3,,,,,,,,,,,,,,,,,,,90,s,a,0,2.26672468905,-0.593774319066,1.64096422802,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.0083,1,1.0083,2,4,14,4,,,,,,,,,,,,,,,,,,,90,s,s,1,3.96664269207,-0.812527656977,1.59099419092,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.133,16,1.133,3,0,15,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.39172067902,0.722224765393,1.11607994128,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.067,8,1.067,3,1,16,1,,,,,,,,,,,,,,,,,,,0,a,a,1,0.858552965044,0.706324864576,2.35763482985,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.033,4,1.033,3,2,17,2,,,,,,,,,,,,,,,,,,,0,a,a,1,2.45841251795,-0.445334554055,1.54098373277,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.017,2,1.017,3,3,18,3,,,,,,,,,,,,,,,,,,,0,a,s,0,3.05006306966,-0.789089799344,1.87428188483,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.0083,1,1.0083,3,4,19,4,,,,,,,,,,,,,,,,,,,90,s,s,1,1.76677377175,-0.500022888533,1.78268811506,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.133,16,1.133,4,0,20,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.35852313046,0.595239185168,1.65743901234,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.067,8,1.067,4,1,21,1,,,,,,,,,,,,,,,,,,,0,a,a,1,1.31684646547,0.674586099031,1.89091771173,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.033,4,1.033,4,2,22,2,,,,,,,,,,,,,,,,,,,0,a,a,1,1.81680989405,-0.570336461433,2.03261433061,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.017,2,1.017,4,3,23,3,,,,,,,,,,,,,,,,,,,0,a,s,0,2.51674072914,-0.742214084077,3.5741918678,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.0083,1,1.0083,4,4,24,4,,,,,,,,,,,,,,,,,,,0,a,a,1,2.24178362037,-0.796902418555,1.09099419092,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.133,16,1.133,5,0,25,0,,,,,,,,,,,,,,,,,,,0,a,a,1,1.45008642405,1.0,1.50770470052,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.067,8,1.067,5,1,26,1,,,,,,,,,,,,,,,,,,,0,a,a,1,1.25850349738,0.730159456779,0.874372992582,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.033,4,1.033,5,2,27,2,,,,,,,,,,,,,,,,,,,90,s,s,1,0.991982517577,-0.562523842222,1.39922070789,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.017,2,1.017,5,3,28,3,,,,,,,,,,,,,,,,,,,0,a,s,0,1.87513906765,-0.492210269322,1.35764830354,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.0083,1,1.0083,5,4,29,4,,,,,,,,,,,,,,,,,,,0,a,s,0,1.82513791276,-0.679713130388,1.13265738223,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.133,16,1.133,6,0,30,0,,,,,,,,,,,,,,,,,,,90,s,s,1,0.741868953685,1.0,0.882746565173,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.067,8,1.067,6,1,31,1,,,,,,,,,,,,,,,,,,,0,a,a,1,2.23343603273,-0.4765850309,1.50760749753,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.033,4,1.033,6,2,32,2,,,,,,,,,,,,,,,,,,,0,a,a,1,2.79175173265,-1.0,1.29098309117,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.017,2,1.017,6,3,33,3,,,,,,,,,,,,,,,,,,,90,s,s,1,2.82506990275,-1.0,1.32434200311,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.0083,1,1.0083,6,4,34,4,,,,,,,,,,,,,,,,,,,90,s,s,1,4.68328378012,-0.718776226444,1.35765151155,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.133,16,1.133,7,0,35,0,,,,,,,,,,,,,,,,,,,0,a,a,1,1.23344918561,1.0,0.916080133762,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.067,8,1.067,7,1,36,1,,,,,,,,,,,,,,,,,,,90,s,a,0,1.38341222923,0.619043259327,0.791117827991,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.033,4,1.033,7,2,37,2,,,,,,,,,,,,,,,,,,,0,a,a,1,2.45835381119,-0.898466468299,1.02443227678,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.017,2,1.017,7,3,38,3,,,,,,,,,,,,,,,,,,,90,s,s,1,1.30008841302,-0.796902418555,1.09109267712,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.0083,1,1.0083,7,4,39,4,,,,,,,,,,,,,,,,,,,0,a,a,1,4.1499611188,-0.796902418555,0.866044653066,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.133,16,1.133,8,0,40,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.2084859816,1.0,1.87430947379,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.067,8,1.067,8,1,41,1,,,,,,,,,,,,,,,,,,,90,s,s,1,1.20009861452,1.0,0.849437698336,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
0.033,4,1.033,8,2,42,2,,,,,,,,,,,,,,,,,,,90,s,a,0,3.00836908136,-0.789089799344,1.06602874129,,,34,f,22,r,120.030804893,MaskierungsExperimentExpra,2017_Jan_20_0919,
