SOA,nFrames,MaskOnsetTime,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,WarEsEinFehler_Training.thisRepN,WarEsEinFehler_Training.thisTrialN,WarEsEinFehler_Training.thisN,WarEsEinFehler_Training.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WarEsEinFehler.thisRepN,WarEsEinFehler.thisTrialN,WarEsEinFehler.thisN,WarEsEinFehler.thisIndex,key_resp_4.keys,key_resp_4.rt,Orientrierung,expectedAnswer,SenktOderWaag.keys,SenktOderWaag.corr,SenktOderWaag.rt,Rating1,Rating1RT,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,participant,gender,age,handedness,frameRate,expName,date,
,,,,,,,,,,,,,,,,,,,,,,,space,27.6815487953,,,,,,,,,,,,04,w,21,r,120.019097195,MaskierungsExperimentExpra,2016_Dez_12_1829,
0.133,16,1.133,0,0,0,0,,,,,,,,,,,,,,,,,,,90,s,a,0,2.12503047623,0.515861753262,18.4149107015,,,,,04,w,21,r,120.019097195,MaskierungsExperimentExpra,2016_Dez_12_1829,
0.067,8,1.067,0,1,1,1,,,,,,,,,,,,,,,,,,,0,a,a,1,21.4404930861,-1.0,3.77422571141,,,,,04,w,21,r,120.019097195,MaskierungsExperimentExpra,2016_Dez_12_1829,
0.033,4,1.033,0,2,2,2,,,,,,,,,,,,,,,,,,,90,s,a,0,3.59994501447,-1.0,2.48267474746,,,,,04,w,21,r,120.019097195,MaskierungsExperimentExpra,2016_Dez_12_1829,
0.017,2,1.017,0,3,3,3,,,,,,,,,,,,,,,,,,,0,a,s,0,27.2568549049,-1.0,2.61592995473,,,,,04,w,21,r,120.019097195,MaskierungsExperimentExpra,2016_Dez_12_1829,
0.0083,1,1.0083,0,4,4,4,,,,,,,,,,,,,,,,,,,90,s,a,0,2.52512780766,-1.0,3.81581837967,,,,,04,w,21,r,120.019097195,MaskierungsExperimentExpra,2016_Dez_12_1829,
0.133,16,1.133,1,0,5,0,,,,,,,,,,,,,,,,,,,0,a,a,1,7.24140730865,-0.406271458,3.64088132109,,,,,04,w,21,r,120.019097195,MaskierungsExperimentExpra,2016_Dez_12_1829,
0.067,8,1.067,1,1,6,1,,,,,,,,,,,,,,,,,,,0,a,s,0,2.68335427103,-0.445334554055,1.54940420585,,,,,04,w,21,r,120.019097195,MaskierungsExperimentExpra,2016_Dez_12_1829,
0.033,4,1.033,1,2,7,2,,,,,,,,,,,,,,,,,,,0,a,a,1,1.50012062169,-1.0,1.46603216236,,,,,04,w,21,r,120.019097195,MaskierungsExperimentExpra,2016_Dez_12_1829,
0.017,2,1.017,1,3,8,3,,,,,,,,,,,,,,,,,,,0,a,a,1,2.75839058586,-1.0,1.03270804675,,,,,04,w,21,r,120.019097195,MaskierungsExperimentExpra,2016_Dez_12_1829,
