SOA,nFrames,MaskOnsetTime,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,WarEsEinFehler_Training.thisRepN,WarEsEinFehler_Training.thisTrialN,WarEsEinFehler_Training.thisN,WarEsEinFehler_Training.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WarEsEinFehler.thisRepN,WarEsEinFehler.thisTrialN,WarEsEinFehler.thisN,WarEsEinFehler.thisIndex,key_resp_4.keys,key_resp_4.rt,Orientrierung,expectedAnswer,SenktOderWaag.keys,SenktOderWaag.corr,SenktOderWaag.rt,Rating1,Rating1RT,key_resp_3.keys,key_resp_3.rt,participant,gender,age,handedness,frameRate,expName,date,
,,,,,,,,,,,,,,,,,,,,,,,space,38.0142952421,,,,,,,,,,15,m,18,r,120.326525413,MaskierungsExperimentExpra,2016_Dez_19_1422,
0.133,16,1.133,0,0,0,0,,,,,,,,,,,,,,,,,,,0,a,a,1,15.1907916454,-1.0,4.97398298661,,,15,m,18,r,120.326525413,MaskierungsExperimentExpra,2016_Dez_19_1422,
0.067,8,1.067,0,1,1,1,,,,,,,,,,,,,,,,,,,0,a,a,1,5.96646564166,-0.0390783550774,1.38270802142,,,15,m,18,r,120.326525413,MaskierungsExperimentExpra,2016_Dez_19_1422,
0.033,4,1.033,0,2,2,2,,,,,,,,,,,,,,,,,,,90,s,a,0,38.4225615306,-1.0,1.34940175305,,,15,m,18,r,120.326525413,MaskierungsExperimentExpra,2016_Dez_19_1422,
0.017,2,1.017,0,3,3,3,,,,,,,,,,,,,,,,,,,0,a,s,0,11.1244120107,-0.421896696422,2.79934659121,,,15,m,18,r,120.326525413,MaskierungsExperimentExpra,2016_Dez_19_1422,
0.0083,1,1.0083,0,4,4,4,,,,,,,,,,,,,,,,,,,90,s,a,0,23.2319861054,-0.625024795911,1.94929890405,,,15,m,18,r,120.326525413,MaskierungsExperimentExpra,2016_Dez_19_1422,
0.133,16,1.133,1,0,5,0,,,,,,,,,,,,,,,,,,,90,s,s,1,9.78288048438,0.666651407645,4.95747389236,,,15,m,18,r,120.326525413,MaskierungsExperimentExpra,2016_Dez_19_1422,
0.067,8,1.067,1,1,6,1,,,,,,,,,,,,,,,,,,,0,a,a,1,1.95000274285,0.53966582742,1.79937353855,,,15,m,18,r,120.326525413,MaskierungsExperimentExpra,2016_Dez_19_1422,
0.033,4,1.033,1,2,7,2,,,,,,,,,,,,,,,,,,,90,s,s,1,2.65838699008,0.444449530785,1.29935380925,,,15,m,18,r,120.326525413,MaskierungsExperimentExpra,2016_Dez_19_1422,
0.017,2,1.017,1,3,8,3,,,,,,,,,,,,,,,,,,,0,a,a,1,1.966686674,-0.414084077211,1.36607670175,,,15,m,18,r,120.326525413,MaskierungsExperimentExpra,2016_Dez_19_1422,
