SOA,nFrames,MaskOnsetTime,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,WarEsEinFehler_Training.thisRepN,WarEsEinFehler_Training.thisTrialN,WarEsEinFehler_Training.thisN,WarEsEinFehler_Training.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WarEsEinFehler.thisRepN,WarEsEinFehler.thisTrialN,WarEsEinFehler.thisN,WarEsEinFehler.thisIndex,key_resp_4.keys,key_resp_4.rt,Orientrierung,expectedAnswer,SenktOderWaag.keys,SenktOderWaag.corr,SenktOderWaag.rt,Rating1,Rating1RT,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,participant,gender,age,handedness,frameRate,expName,date,
,,,,,,,,,,,,,,,,,,,,,,,space,71.1199305656,,,,,,,,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.133,16,1.133,0,0,0,0,,,,,,,,,,,,,,,,,,,0,a,s,0,10.891171752,-1.52590218967e-05,5.94886094418,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.067,8,1.067,0,1,1,1,,,,,,,,,,,,,,,,,,,0,a,s,0,14.0657865569,-1.52590218967e-05,1.31607279255,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.033,4,1.033,0,2,2,2,,,,,,,,,,,,,,,,,,,0,a,s,0,17.2906607785,-1.52590218967e-05,1.49106421912,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.017,2,1.017,0,3,3,3,,,,,,,,,,,,,,,,,,,0,a,a,1,11.4577556624,-1.52590218967e-05,1.42435599789,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.0083,1,1.0083,0,4,4,4,,,,,,,,,,,,,,,,,,,90,s,s,1,9.69119465723,-1.52590218967e-05,2.26597506021,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.133,16,1.133,1,0,5,0,,,,,,,,,,,,,,,,,,,0,a,a,1,24.165239044,-1.52590218967e-05,0.949397646019,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.067,8,1.067,1,1,6,1,,,,,,,,,,,,,,,,,,,90,s,a,0,7.29969713078,-1.52590218967e-05,1.22438243198,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.033,4,1.033,1,2,7,2,,,,,,,,,,,,,,,,,,,0,a,s,0,13.4242834966,-1.52590218967e-05,1.14106981711,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.017,2,1.017,1,3,8,3,,,,,,,,,,,,,,,,,,,0,a,a,1,3.97492129924,-1.52590218967e-05,1.07439784652,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.0083,1,1.0083,1,4,9,4,,,,,,,,,,,,,,,,,,,0,a,a,1,1.65837371964,0.0714274814984,3.46594188927,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.133,16,1.133,2,0,10,0,,,,,,,,,,,,,,,,,,,0,a,a,1,2.84998654235,-1.52590218967e-05,0.557783026812,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.067,8,1.067,2,1,11,1,,,,,,,,,,,,,,,,,,,90,s,a,0,1.83341968255,-1.52590218967e-05,3.04091990631,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.033,4,1.033,2,2,12,2,,,,,,,,,,,,,,,,,,,0,a,s,0,5.31650234651,-1.52590218967e-05,0.557772440344,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.017,2,1.017,2,3,13,3,,,,,,,,,,,,,,,,,,,0,a,a,1,1.34174946835,-1.52590218967e-05,0.707784614782,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.0083,1,1.0083,2,4,14,4,,,,,,,,,,,,,,,,,,,0,a,a,1,1.18342178381,-1.52590218967e-05,0.366136199079,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.133,16,1.133,3,0,15,0,,,,,,,,,,,,,,,,,,,90,s,a,0,3.42495301052,0.119035629816,1.30771750299,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.067,8,1.067,3,1,16,1,,,,,,,,,,,,,,,,,,,0,a,a,1,6.2997314566,-1.52590218967e-05,0.607790292979,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.033,4,1.033,3,2,17,2,,,,,,,,,,,,,,,,,,,90,s,a,0,1.07507185164,-1.52590218967e-05,0.532791263405,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.017,2,1.017,3,3,18,3,,,,,,,,,,,,,,,,,,,0,a,a,1,9.24128870036,-1.52590218967e-05,0.424402834992,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.0083,1,1.0083,3,4,19,4,,,,,,,,,,,,,,,,,,,90,s,a,0,12.7160324357,-1.52590218967e-05,0.682755959139,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.133,16,1.133,4,0,20,0,,,,,,,,,,,,,,,,,,,90,s,s,1,5.49979901751,0.18254367895,2.77429842996,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.067,8,1.067,4,1,21,1,,,,,,,,,,,,,,,,,,,90,s,s,1,5.81646433146,-0.539085984588,1.47434914877,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.033,4,1.033,4,2,22,2,,,,,,,,,,,,,,,,,,,0,a,a,1,2.80000301554,-1.0,1.19936853323,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.017,2,1.017,4,3,23,3,,,,,,,,,,,,,,,,,,,90,s,s,1,4.55820359831,-0.609399557488,1.39108561662,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.0083,1,1.0083,4,4,24,4,,,,,,,,,,,,,,,,,,,0,a,s,0,7.20804205843,-0.4765850309,1.5826929857,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.133,16,1.133,5,0,25,0,,,,,,,,,,,,,,,,,,,90,s,s,1,4.32488426264,1.0,0.966056896811,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.067,8,1.067,5,1,26,1,,,,,,,,,,,,,,,,,,,0,a,s,0,1.82503616241,-0.328145265888,1.8160334943,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
0.033,4,1.033,5,2,27,2,,,,,,,,,,,,,,,,,,,0,a,a,1,1.94172534404,-0.484397650111,1.11606939205,,,,,29,m,24,r,120.364934473,MaskierungsExperimentExpra,2017_Jan_16_1017,
