SOA,nFrames,MaskOnsetTime,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,WarEsEinFehler_Training.thisRepN,WarEsEinFehler_Training.thisTrialN,WarEsEinFehler_Training.thisN,WarEsEinFehler_Training.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WarEsEinFehler.thisRepN,WarEsEinFehler.thisTrialN,WarEsEinFehler.thisN,WarEsEinFehler.thisIndex,key_resp_4.keys,key_resp_4.rt,Orientrierung,expectedAnswer,SenktOderWaag.keys,SenktOderWaag.corr,SenktOderWaag.rt,Rating1,Rating1RT,key_resp_3.keys,key_resp_3.rt,participant,gender,age,handedness,frameRate,expName,date,
,,,,,,,,,,,,,,,,,,,,,,,space,23.5199140893,,,,,,,,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
0.133,16,1.133,0,0,0,0,,,,,,,,,,,,,,,,,,,90,s,a,0,26.2233922218,-1.0,7.75711201435,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
0.067,8,1.067,0,1,1,1,,,,,,,,,,,,,,,,,,,90,s,a,0,5.89152249301,-1.0,2.51591625791,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
0.033,4,1.033,0,2,2,2,,,,,,,,,,,,,,,,,,,90,s,s,1,2.81668040767,-1.0,4.21581103494,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
0.017,2,1.017,0,3,3,3,,,,,,,,,,,,,,,,,,,0,a,a,1,8.49962915318,-0.0468909742885,2.79927178003,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
0.0083,1,1.0083,0,4,4,4,,,,,,,,,,,,,,,,,,,0,a,a,1,5.57482989487,-0.0312657358663,3.54090222284,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
0.133,16,1.133,1,0,5,0,,,,,,,,,,,,,,,,,,,0,a,s,0,2.55836089555,-0.367208361944,9.18223432001,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
0.067,8,1.067,1,1,6,1,,,,,,,,,,,,,,,,,,,0,a,a,1,3.23336274016,0.166674296178,1.8243209429,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
0.033,4,1.033,1,2,7,2,,,,,,,,,,,,,,,,,,,0,a,s,0,3.8248894036,1.0,3.24094745588,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
0.017,2,1.017,1,3,8,3,,,,,,,,,,,,,,,,,,,0,a,s,0,1.09164215207,-1.52590218967e-05,0.566076498385,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
0.0083,1,1.0083,1,4,9,4,,,,,,,,,,,,,,,,,,,90,s,s,1,2.01669388135,-1.0,8.41559641857,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
0.133,16,1.133,2,0,10,0,,,,,,,,,,,,,,,,,,,0,a,a,1,1.92511556883,-1.0,1.43257677588,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
0.067,8,1.067,2,1,11,1,,,,,,,,,,,,,,,,,,,0,a,s,0,2.15005630071,-1.0,2.13263452019,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
0.033,4,1.033,2,2,12,2,,,,,,,,,,,,,,,,,,,0,a,s,0,0.383447592222,-1.0,1.94933642158,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
0.017,2,1.017,2,3,13,3,,,,,,,,,,,,,,,,,,,0,a,a,1,0.600226486034,-1.0,1.599302577,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
0.0083,1,1.0083,2,4,14,4,,,,,,,,,,,,,,,,,,,90,s,a,0,1.38343957218,-1.0,1.31608917005,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
0.133,16,1.133,3,0,15,0,,,,,,,,,,,,,,,,,,,0,a,s,0,2.22507643102,-1.0,7.04061638848,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
0.067,8,1.067,3,1,16,1,,,,,,,,,,,,,,,,,,,90,s,s,1,2.88332055473,-1.0,2.6325995528,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
0.033,4,1.033,3,2,17,2,,,,,,,,,,,,,,,,,,,0,a,a,1,2.21669099413,-1.0,1.55769651513,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
0.017,2,1.017,3,3,18,3,,,,,,,,,,,,,,,,,,,90,s,a,0,2.23337428902,-1.0,2.0660062428,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
0.0083,1,1.0083,3,4,19,4,,,,,,,,,,,,,,,,,,,90,s,s,1,1.34178474844,-1.0,3.69920601567,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
0.133,16,1.133,4,0,20,0,,,,,,,,,,,,,,,,,,,90,s,a,0,3.03336691058,-1.0,1.53266146754,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
0.067,8,1.067,4,1,21,1,,,,,,,,,,,,,,,,,,,0,a,s,0,2.7083145397,-1.0,1.86601875407,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
0.033,4,1.033,4,2,22,2,,,,,,,,,,,,,,,,,,,0,a,a,1,2.99998588472,-0.273456931411,2.56597576664,,,12,f,21,r,115.920745834,MaskierungsExperimentExpra,2016_Dez_15_1124,
