SOA,nFrames,MaskOnsetTime,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,WarEsEinFehler_Training.thisRepN,WarEsEinFehler_Training.thisTrialN,WarEsEinFehler_Training.thisN,WarEsEinFehler_Training.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WarEsEinFehler.thisRepN,WarEsEinFehler.thisTrialN,WarEsEinFehler.thisN,WarEsEinFehler.thisIndex,key_resp_4.keys,key_resp_4.rt,Orientrierung,expectedAnswer,SenktOderWaag.keys,SenktOderWaag.corr,SenktOderWaag.rt,Rating1,Rating1RT,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,participant,gender,age,handedness,frameRate,expName,date,
,,,,,,,,,,,,,,,,,,,,,,,space,37.2143620652,,,,,,,,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.133,16,1.133,0,0,0,0,,,,,,,,,,,,,,,,,,,0,a,s,0,1.55007307878,-0.554711223011,2.40746712417,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.067,8,1.067,0,1,1,1,,,,,,,,,,,,,,,,,,,0,a,s,0,2.01672086088,-0.750026703288,1.09942723946,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.033,4,1.033,0,2,2,2,,,,,,,,,,,,,,,,,,,0,a,s,0,2.90829383187,-1.0,1.37443410463,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.017,2,1.017,0,3,3,3,,,,,,,,,,,,,,,,,,,0,a,a,1,2.06669609494,-1.0,1.29106109874,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.0083,1,1.0083,0,4,4,4,,,,,,,,,,,,,,,,,,,90,s,a,0,2.22505216246,-1.0,1.14939734068,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.133,16,1.133,1,0,5,0,,,,,,,,,,,,,,,,,,,0,a,a,1,3.27501681004,-0.148455024033,1.25768738708,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.067,8,1.067,1,1,6,1,,,,,,,,,,,,,,,,,,,90,s,s,1,1.03341605757,1.52590218967e-05,0.682806340595,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.033,4,1.033,1,2,7,2,,,,,,,,,,,,,,,,,,,0,a,a,1,1.38340598438,-1.0,1.00775026434,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.017,2,1.017,1,3,8,3,,,,,,,,,,,,,,,,,,,0,a,a,1,1.51673369297,-1.0,0.941087853653,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.0083,1,1.0083,1,4,9,4,,,,,,,,,,,,,,,,,,,0,a,a,1,1.87505036597,-1.0,0.891096579477,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.133,16,1.133,2,0,10,0,,,,,,,,,,,,,,,,,,,0,a,a,1,1.75007250133,1.0,1.62436032008,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.067,8,1.067,2,1,11,1,,,,,,,,,,,,,,,,,,,90,s,s,1,0.95011523221,1.0,1.11608458147,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.033,4,1.033,2,2,12,2,,,,,,,,,,,,,,,,,,,90,s,a,0,1.40841541597,-0.679713130388,1.26613507576,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.017,2,1.017,2,3,13,3,,,,,,,,,,,,,,,,,,,0,a,a,1,1.35842350018,-1.0,1.14941081438,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.0083,1,1.0083,2,4,14,4,,,,,,,,,,,,,,,,,,,0,a,s,0,0.975148723976,-1.52590218967e-05,0.87442223494,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.133,16,1.133,3,0,15,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.05844088767,1.0,1.04944109812,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.067,8,1.067,3,1,16,1,,,,,,,,,,,,,,,,,,,90,s,s,1,0.941792335646,1.0,0.866084260666,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.033,4,1.033,3,2,17,2,,,,,,,,,,,,,,,,,,,90,s,a,0,0.900123958034,-0.968780041199,1.01611037398,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.017,2,1.017,3,3,18,3,,,,,,,,,,,,,,,,,,,90,s,a,0,1.100124343,-1.0,0.891073802509,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.0083,1,1.0083,3,4,19,4,,,,,,,,,,,,,,,,,,,0,a,s,0,0.525209612265,-1.0,1.18266069632,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.133,16,1.133,4,0,20,0,,,,,,,,,,,,,,,,,,,0,a,a,1,1.30010644222,1.0,1.02438162136,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.067,8,1.067,4,1,21,1,,,,,,,,,,,,,,,,,,,0,a,a,1,0.975152573605,1.0,0.891032098202,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.033,4,1.033,4,2,22,2,,,,,,,,,,,,,,,,,,,0,a,a,1,0.858469374923,1.0,0.966074829076,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.017,2,1.017,4,3,23,3,,,,,,,,,,,,,,,,,,,90,s,a,0,0.891788870981,-0.406271458,0.691115442656,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.0083,1,1.0083,4,4,24,4,,,,,,,,,,,,,,,,,,,90,s,s,1,0.916804077013,0.0555580987259,0.591100172463,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.133,16,1.133,5,0,25,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.03347701002,1.0,0.866060842093,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.067,8,1.067,5,1,26,1,,,,,,,,,,,,,,,,,,,90,s,s,1,0.650091877797,1.0,1.09936211658,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.033,4,1.033,5,2,27,2,,,,,,,,,,,,,,,,,,,90,s,s,1,0.716774499035,0.730159456779,0.799428266025,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.017,2,1.017,5,3,28,3,,,,,,,,,,,,,,,,,,,0,a,a,1,0.825149878865,-1.0,0.8994005487,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.0083,1,1.0083,5,4,29,4,,,,,,,,,,,,,,,,,,,0,a,s,0,0.833484003511,-1.52590218967e-05,0.449413637437,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.133,16,1.133,6,0,30,0,,,,,,,,,,,,,,,,,,,90,s,s,1,0.800125690367,1.0,0.824423261508,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.067,8,1.067,6,1,31,1,,,,,,,,,,,,,,,,,,,0,a,a,1,1.08347117142,-0.828152895399,1.09104242804,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.033,4,1.033,6,2,32,2,,,,,,,,,,,,,,,,,,,90,s,s,1,0.816817679033,-1.52590218967e-05,0.474440071552,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.017,2,1.017,6,3,33,3,,,,,,,,,,,,,,,,,,,90,s,a,0,1.02511144674,-1.0,1.04941639634,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.0083,1,1.0083,6,4,34,4,,,,,,,,,,,,,,,,,,,90,s,a,0,0.783494012545,-1.0,1.17441222591,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.133,16,1.133,7,0,35,0,,,,,,,,,,,,,,,,,,,90,s,s,1,0.800125690367,1.0,1.10774885281,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.067,8,1.067,7,1,36,1,,,,,,,,,,,,,,,,,,,0,a,s,0,0.833562920893,1.0,0.899347937112,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.033,4,1.033,7,2,37,2,,,,,,,,,,,,,,,,,,,0,a,s,0,0.775143526978,1.0,0.891093371453,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.017,2,1.017,7,3,38,3,,,,,,,,,,,,,,,,,,,90,s,s,1,0.43349606568,-0.781277180133,0.89110780756,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.0083,1,1.0083,7,4,39,4,,,,,,,,,,,,,,,,,,,90,s,a,0,0.391785662957,-0.695338368811,1.0494657999,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.133,16,1.133,8,0,40,0,,,,,,,,,,,,,,,,,,,90,s,s,1,0.766796249435,1.0,1.68270849587,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.067,8,1.067,8,1,41,1,,,,,,,,,,,,,,,,,,,0,a,s,0,0.966761025336,1.0,0.766146624646,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
0.033,4,1.033,8,2,42,2,,,,,,,,,,,,,,,,,,,0,a,s,0,0.525240409293,-0.343770504311,0.832694829693,,,,,21,m,22,r,120.299321933,MaskierungsExperimentExpra,2017_Jan_09_1451,
