SOA,nFrames,MaskOnsetTime,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,WarEsEinFehler_Training.thisRepN,WarEsEinFehler_Training.thisTrialN,WarEsEinFehler_Training.thisN,WarEsEinFehler_Training.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WarEsEinFehler.thisRepN,WarEsEinFehler.thisTrialN,WarEsEinFehler.thisN,WarEsEinFehler.thisIndex,key_resp_4.keys,key_resp_4.rt,Orientrierung,expectedAnswer,SenktOderWaag.keys,SenktOderWaag.corr,SenktOderWaag.rt,Rating1,Rating1RT,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,participant,gender,age,handedness,frameRate,expName,date,
,,,,,,,,,,,,,,,,,,,,,,,space,67.4699315537,,,,,,,,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.133,16,1.133,0,0,0,0,,,,,,,,,,,,,,,,,,,90,s,s,1,2.65004998094,-0.671900511177,5.99051773586,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.067,8,1.067,0,1,1,1,,,,,,,,,,,,,,,,,,,90,s,s,1,2.55004061353,-0.656275272755,1.49933882717,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.033,4,1.033,0,2,2,2,,,,,,,,,,,,,,,,,,,0,a,a,1,2.47505379849,-1.0,1.54932779159,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.017,2,1.017,0,3,3,3,,,,,,,,,,,,,,,,,,,0,a,a,1,4.88316649493,-1.0,3.08260714464,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.0083,1,1.0083,0,4,4,4,,,,,,,,,,,,,,,,,,,0,a,a,1,3.16664282039,-1.0,5.46576369471,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.133,16,1.133,1,0,5,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.83350025728,0.428580148013,3.12416639612,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.067,8,1.067,1,1,6,1,,,,,,,,,,,,,,,,,,,90,s,s,1,1.86671673316,0.293659876402,0.999423839691,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.033,4,1.033,1,2,7,2,,,,,,,,,,,,,,,,,,,0,a,a,1,2.40836035555,-0.414084077211,3.29090449469,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.017,2,1.017,1,3,8,3,,,,,,,,,,,,,,,,,,,0,a,s,0,2.83338059815,-1.0,1.19935210837,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.0083,1,1.0083,1,4,9,4,,,,,,,,,,,,,,,,,,,90,s,s,1,2.38351392345,-0.437521934844,1.28253701734,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.133,16,1.133,2,0,10,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.67499104963,0.492057679103,2.39106239341,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.067,8,1.067,2,1,11,1,,,,,,,,,,,,,,,,,,,0,a,s,0,2.50005068671,0.309529259174,1.29102479542,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.033,4,1.033,2,2,12,2,,,,,,,,,,,,,,,,,,,90,s,s,1,1.80843311343,0.309529259174,1.3076891737,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.017,2,1.017,2,3,13,3,,,,,,,,,,,,,,,,,,,0,a,a,1,3.29994950577,-0.781277180133,1.49938213544,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.0083,1,1.0083,2,4,14,4,,,,,,,,,,,,,,,,,,,0,a,a,1,1.80008360099,-0.617212176699,1.31603740294,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.133,16,1.133,3,0,15,0,,,,,,,,,,,,,,,,,,,0,a,a,1,4.59987302659,0.484122987716,1.24103486861,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.067,8,1.067,3,1,16,1,,,,,,,,,,,,,,,,,,,0,a,s,0,1.5167336715,0.69839017319,0.857742298508,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.033,4,1.033,3,2,17,2,,,,,,,,,,,,,,,,,,,0,a,a,1,1.58342936005,-0.382833600366,1.09105867211,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.017,2,1.017,3,3,18,3,,,,,,,,,,,,,,,,,,,0,a,a,1,1.52515023155,-0.453147173266,0.9243792803,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.0083,1,1.0083,3,4,19,4,,,,,,,,,,,,,,,,,,,0,a,s,0,2.33331707937,-0.398458838788,2.11605908915,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.133,16,1.133,4,0,20,0,,,,,,,,,,,,,,,,,,,0,a,a,1,2.27502864761,0.626977950713,2.19932099059,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.067,8,1.067,4,1,21,1,,,,,,,,,,,,,,,,,,,90,s,s,1,1.70840674351,0.587304493782,0.966062040531,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.033,4,1.033,4,2,22,2,,,,,,,,,,,,,,,,,,,90,s,a,0,2.13335352247,0.317463950561,0.90776238071,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.017,2,1.017,4,3,23,3,,,,,,,,,,,,,,,,,,,0,a,s,0,1.37512495236,-0.562523842222,0.757728439863,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.0083,1,1.0083,4,4,24,4,,,,,,,,,,,,,,,,,,,90,s,s,1,2.62501459649,0.325398641947,1.9493402387,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.133,16,1.133,5,0,25,0,,,,,,,,,,,,,,,,,,,0,a,a,1,1.25840308637,1.0,1.80770585541,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.067,8,1.067,5,1,26,1,,,,,,,,,,,,,,,,,,,90,s,s,1,1.53341376908,1.0,1.00774704638,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.033,4,1.033,5,2,27,2,,,,,,,,,,,,,,,,,,,0,a,a,1,1.24171240233,0.214282444495,1.15773799976,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.017,2,1.017,5,3,28,3,,,,,,,,,,,,,,,,,,,0,a,s,0,2.40835522272,-0.562523842222,1.94934216351,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.0083,1,1.0083,5,4,29,4,,,,,,,,,,,,,,,,,,,90,s,s,1,1.46674823591,-0.757839322499,1.35772080478,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.133,16,1.133,6,0,30,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.80847802571,1.0,0.965985368864,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
0.067,8,1.067,6,1,31,1,,,,,,,,,,,,,,,,,,,90,s,s,1,2.11675073817,0.293659876402,0.791007151317,,,,,25,f,21,r,120.319907363,MaskierungsExperimentExpra,2017_Jan_11_1650,
