SOA,nFrames,MaskOnsetTime,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,WarEsEinFehler_Training.thisRepN,WarEsEinFehler_Training.thisTrialN,WarEsEinFehler_Training.thisN,WarEsEinFehler_Training.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WarEsEinFehler.thisRepN,WarEsEinFehler.thisTrialN,WarEsEinFehler.thisN,WarEsEinFehler.thisIndex,key_resp_4.keys,key_resp_4.rt,Orientrierung,expectedAnswer,SenktOderWaag.keys,SenktOderWaag.corr,SenktOderWaag.rt,Rating1,Rating1RT,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,participant,gender,age,handedness,frameRate,expName,date,
,,,,,,,,,,,,,,,,,,,,,,,space,38.9924470291,,,,,,,,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.133,16,1.133,0,0,0,0,,,,,,,,,,,,,,,,,,,0,a,s,0,2.48336639736,-0.250019073777,9.6986632807,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.067,8,1.067,0,1,1,1,,,,,,,,,,,,,,,,,,,90,s,s,1,4.16657887375,-1.0,1.82435845943,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.033,4,1.033,0,2,2,2,,,,,,,,,,,,,,,,,,,0,a,a,1,6.02480123085,-0.765651941711,3.31592713167,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.017,2,1.017,0,3,3,3,,,,,,,,,,,,,,,,,,,90,s,a,0,5.41647750021,-0.593774319066,3.89091404293,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.0083,1,1.0083,0,4,4,4,,,,,,,,,,,,,,,,,,,0,a,s,0,5.94981014916,-0.632837415122,2.86593123794,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.133,16,1.133,1,0,5,0,,,,,,,,,,,,,,,,,,,0,a,a,1,3.48330448251,1.0,2.6159671678,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.067,8,1.067,1,1,6,1,,,,,,,,,,,,,,,,,,,0,a,a,1,2.70004208927,0.650782024872,1.5159916771,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.033,4,1.033,1,2,7,2,,,,,,,,,,,,,,,,,,,0,a,a,1,2.60000949575,-0.0390783550774,1.89934537069,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.017,2,1.017,1,3,8,3,,,,,,,,,,,,,,,,,,,0,a,s,0,1.2084143894,0.317463950561,2.0077034272,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.0083,1,1.0083,1,4,9,4,,,,,,,,,,,,,,,,,,,0,a,a,1,3.20832392313,-1.0,2.57431771753,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.133,16,1.133,2,0,10,0,,,,,,,,,,,,,,,,,,,0,a,s,0,1.15012588285,-1.0,2.71596415226,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.067,8,1.067,2,1,11,1,,,,,,,,,,,,,,,,,,,0,a,a,1,1.64178277574,1.0,1.76602247413,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.033,4,1.033,2,2,12,2,,,,,,,,,,,,,,,,,,,90,s,a,0,2.75839860592,0.507927061875,2.18261353837,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.017,2,1.017,2,3,13,3,,,,,,,,,,,,,,,,,,,90,s,a,0,1.40008899058,-1.52590218967e-05,1.24110126319,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.0083,1,1.0083,2,4,14,4,,,,,,,,,,,,,,,,,,,0,a,s,0,0.683450511744,-0.585961699855,2.14103370221,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.133,16,1.133,3,0,15,0,,,,,,,,,,,,,,,,,,,0,a,a,1,1.60843633228,1.0,0.932738651295,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.067,8,1.067,3,1,16,1,,,,,,,,,,,,,,,,,,,90,s,a,0,2.03338237332,1.0,0.916077459656,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.033,4,1.033,3,2,17,2,,,,,,,,,,,,,,,,,,,90,s,s,1,1.31675768899,-1.52590218967e-05,2.28265094393,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.017,2,1.017,3,3,18,3,,,,,,,,,,,,,,,,,,,0,a,s,0,3.75833957829,-1.0,1.23258299799,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.0083,1,1.0083,3,4,19,4,,,,,,,,,,,,,,,,,,,0,a,a,1,2.3583843623,-0.0234531166552,0.916045700222,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.133,16,1.133,4,0,20,0,,,,,,,,,,,,,,,,,,,0,a,a,1,1.05842356435,1.0,0.841114929372,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.067,8,1.067,4,1,21,1,,,,,,,,,,,,,,,,,,,0,a,a,1,4.25820740771,0.682520790417,0.97444392118,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.033,4,1.033,4,2,22,2,,,,,,,,,,,,,,,,,,,0,a,a,1,1.19182056625,0.365072098878,1.00771112645,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.017,2,1.017,4,3,23,3,,,,,,,,,,,,,,,,,,,0,a,s,0,1.06677148349,-1.52590218967e-05,1.0494378901,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.0083,1,1.0083,4,4,24,4,,,,,,,,,,,,,,,,,,,90,s,a,0,1.64172054008,-1.0,2.06600893627,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
0.133,16,1.133,5,0,25,0,,,,,,,,,,,,,,,,,,,90,s,s,1,0.666781620847,1.0,1.14112994292,,,,,11,m,21,r,119.983525853,MaskierungsExperimentExpra,2016_Dez_14_1647,
