SOA,nFrames,MaskOnsetTime,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,WarEsEinFehler_Training.thisRepN,WarEsEinFehler_Training.thisTrialN,WarEsEinFehler_Training.thisN,WarEsEinFehler_Training.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WarEsEinFehler.thisRepN,WarEsEinFehler.thisTrialN,WarEsEinFehler.thisN,WarEsEinFehler.thisIndex,key_resp_4.keys,key_resp_4.rt,Orientrierung,expectedAnswer,SenktOderWaag.keys,SenktOderWaag.corr,SenktOderWaag.rt,Rating1,Rating1RT,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,participant,gender,age,handedness,frameRate,expName,date,
,,,,,,,,,,,,,,,,,,,,,,,space,92.1575133702,,,,,,,,,,,,27,m,18,r,120.004735231,MaskierungsExperimentExpra,2017_Jan_12_1846,
0.133,16,1.133,0,0,0,0,,,,,,,,,,,,,,,,,,,90,s,a,0,4.3832668791,-0.617212176699,6.27384500685,,,,,27,m,18,r,120.004735231,MaskierungsExperimentExpra,2017_Jan_12_1846,
0.067,8,1.067,0,1,1,1,,,,,,,,,,,,,,,,,,,0,a,a,1,4.93324646002,-0.617212176699,2.04929514886,,,,,27,m,18,r,120.004735231,MaskierungsExperimentExpra,2017_Jan_12_1846,
0.033,4,1.033,0,2,2,2,,,,,,,,,,,,,,,,,,,0,a,a,1,4.36659509564,-1.0,5.08240228437,,,,,27,m,18,r,120.004735231,MaskierungsExperimentExpra,2017_Jan_12_1846,
0.017,2,1.017,0,3,3,3,,,,,,,,,,,,,,,,,,,90,s,a,0,6.17483670352,-1.0,3.66584188352,,,,,27,m,18,r,120.004735231,MaskierungsExperimentExpra,2017_Jan_12_1846,
0.0083,1,1.0083,0,4,4,4,,,,,,,,,,,,,,,,,,,0,a,a,1,11.7661401336,-1.0,2.33260671574,,,,,27,m,18,r,120.004735231,MaskierungsExperimentExpra,2017_Jan_12_1846,
0.133,16,1.133,1,0,5,0,,,,,,,,,,,,,,,,,,,90,s,s,1,4.36657520588,0.293659876402,2.23264466668,,,,,27,m,18,r,120.004735231,MaskierungsExperimentExpra,2017_Jan_12_1846,
0.067,8,1.067,1,1,6,1,,,,,,,,,,,,,,,,,,,90,s,s,1,2.53334180252,0.349202716106,1.80768918604,,,,,27,m,18,r,120.004735231,MaskierungsExperimentExpra,2017_Jan_12_1846,
0.033,4,1.033,1,2,7,2,,,,,,,,,,,,,,,,,,,90,s,a,0,2.95006356701,-1.0,1.08267015443,,,,,27,m,18,r,120.004735231,MaskierungsExperimentExpra,2017_Jan_12_1846,
0.017,2,1.017,1,3,8,3,,,,,,,,,,,,,,,,,,,90,s,s,1,4.18325231467,-1.0,5.29076252501,,,,,27,m,18,r,120.004735231,MaskierungsExperimentExpra,2017_Jan_12_1846,
0.0083,1,1.0083,1,4,9,4,,,,,,,,,,,,,,,,,,,0,a,s,0,3.77498722404,-1.0,1.44932331531,,,,,27,m,18,r,120.004735231,MaskierungsExperimentExpra,2017_Jan_12_1846,
0.133,16,1.133,2,0,10,0,,,,,,,,,,,,,,,,,,,0,a,a,1,3.0749978426,0.555535210193,1.90772694449,,,,,27,m,18,r,120.004735231,MaskierungsExperimentExpra,2017_Jan_12_1846,
0.067,8,1.067,2,1,11,1,,,,,,,,,,,,,,,,,,,0,a,a,1,2.21674505475,0.523796444648,2.3659534907,,,,,27,m,18,r,120.004735231,MaskierungsExperimentExpra,2017_Jan_12_1846,
0.033,4,1.033,2,2,12,2,,,,,,,,,,,,,,,,,,,0,a,s,0,4.09989275573,-0.304707408255,3.00763734436,,,,,27,m,18,r,120.004735231,MaskierungsExperimentExpra,2017_Jan_12_1846,
0.017,2,1.017,2,3,13,3,,,,,,,,,,,,,,,,,,,0,a,a,1,2.0667699009,-0.390646219577,1.85763684711,,,,,27,m,18,r,120.004735231,MaskierungsExperimentExpra,2017_Jan_12_1846,
0.0083,1,1.0083,2,4,14,4,,,,,,,,,,,,,,,,,,,90,s,s,1,4.29162997488,-0.765651941711,1.98263015036,,,,,27,m,18,r,120.004735231,MaskierungsExperimentExpra,2017_Jan_12_1846,
0.133,16,1.133,3,0,15,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.2918012834,0.571435111009,1.49935823466,,,,,27,m,18,r,120.004735231,MaskierungsExperimentExpra,2017_Jan_12_1846,
0.067,8,1.067,3,1,16,1,,,,,,,,,,,,,,,,,,,0,a,a,1,0.84185432809,0.53966582742,1.41601471585,,,,,27,m,18,r,120.004735231,MaskierungsExperimentExpra,2017_Jan_12_1846,
0.033,4,1.033,3,2,17,2,,,,,,,,,,,,,,,,,,,90,s,a,0,0.74179186785,-1.0,2.09104374045,,,,,27,m,18,r,120.004735231,MaskierungsExperimentExpra,2017_Jan_12_1846,
0.017,2,1.017,3,3,18,3,,,,,,,,,,,,,,,,,,,0,a,s,0,4.67491032769,0.309529259174,1.26602737151,,,,,27,m,18,r,120.004735231,MaskierungsExperimentExpra,2017_Jan_12_1846,
0.0083,1,1.0083,3,4,19,4,,,,,,,,,,,,,,,,,,,0,a,s,0,3.85830058742,-0.484397650111,1.65771788182,,,,,27,m,18,r,120.004735231,MaskierungsExperimentExpra,2017_Jan_12_1846,
0.133,16,1.133,4,0,20,0,,,,,,,,,,,,,,,,,,,0,a,a,1,3.14162915684,0.785702296483,6.09909331598,,,,,27,m,18,r,120.004735231,MaskierungsExperimentExpra,2017_Jan_12_1846,
