SOA,nFrames,MaskOnsetTime,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,WarEsEinFehler_Training.thisRepN,WarEsEinFehler_Training.thisTrialN,WarEsEinFehler_Training.thisN,WarEsEinFehler_Training.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WarEsEinFehler.thisRepN,WarEsEinFehler.thisTrialN,WarEsEinFehler.thisN,WarEsEinFehler.thisIndex,key_resp_4.keys,key_resp_4.rt,Orientrierung,expectedAnswer,SenktOderWaag.keys,SenktOderWaag.corr,SenktOderWaag.rt,Rating1,Rating1RT,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,participant,gender,age,handedness,frameRate,expName,date,
,,,,,,,,,,,,,,,,,,,,,,,space,53.9995406113,,,,,,,,,,,,13,f,21,r,120.050143073,MaskierungsExperimentExpra,2016_Dez_15_1515,
0.133,16,1.133,0,0,0,0,,,,,,,,,,,,,,,,,,,90,s,a,0,11.0411207416,-0.664087891966,8.27362852265,,,,,13,f,21,r,120.050143073,MaskierungsExperimentExpra,2016_Dez_15_1515,
0.067,8,1.067,0,1,1,1,,,,,,,,,,,,,,,,,,,0,a,a,1,9.89956325994,-0.843778133822,6.11569890279,,,,,13,f,21,r,120.050143073,MaskierungsExperimentExpra,2016_Dez_15_1515,
0.033,4,1.033,0,2,2,2,,,,,,,,,,,,,,,,,,,0,a,s,0,7.78301519383,-0.796902418555,4.49086515851,,,,,13,f,21,r,120.050143073,MaskierungsExperimentExpra,2016_Dez_15_1515,
0.017,2,1.017,0,3,3,3,,,,,,,,,,,,,,,,,,,90,s,s,1,22.8570053247,-0.835965514611,6.48233695391,,,,,13,f,21,r,120.050143073,MaskierungsExperimentExpra,2016_Dez_15_1515,
0.0083,1,1.0083,0,4,4,4,,,,,,,,,,,,,,,,,,,90,s,a,0,27.4983873275,-0.789089799344,2.23267267337,,,,,13,f,21,r,120.050143073,MaskierungsExperimentExpra,2016_Dez_15_1515,
0.133,16,1.133,1,0,5,0,,,,,,,,,,,,,,,,,,,90,s,s,1,3.96662759296,-1.52590218967e-05,5.41576376899,,,,,13,f,21,r,120.050143073,MaskierungsExperimentExpra,2016_Dez_15_1515,
0.067,8,1.067,1,1,6,1,,,,,,,,,,,,,,,,,,,90,s,s,1,7.09968413819,-0.867215991455,2.38265698614,,,,,13,f,21,r,120.050143073,MaskierungsExperimentExpra,2016_Dez_15_1515,
0.033,4,1.033,1,2,7,2,,,,,,,,,,,,,,,,,,,0,a,s,0,21.0154726089,-1.0,1.87434147337,,,,,13,f,21,r,120.050143073,MaskierungsExperimentExpra,2016_Dez_15_1515,
0.017,2,1.017,1,3,8,3,,,,,,,,,,,,,,,,,,,0,a,s,0,19.2822269829,-0.898466468299,1.54104856111,,,,,13,f,21,r,120.050143073,MaskierungsExperimentExpra,2016_Dez_15_1515,
