SOA,nFrames,MaskOnsetTime,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,WarEsEinFehler_Training.thisRepN,WarEsEinFehler_Training.thisTrialN,WarEsEinFehler_Training.thisN,WarEsEinFehler_Training.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WarEsEinFehler.thisRepN,WarEsEinFehler.thisTrialN,WarEsEinFehler.thisN,WarEsEinFehler.thisIndex,key_resp_4.keys,key_resp_4.rt,Orientrierung,expectedAnswer,SenktOderWaag.keys,SenktOderWaag.corr,SenktOderWaag.rt,Rating1,Rating1RT,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,participant,gender,age,handedness,frameRate,expName,date,
,,,,,,,,,,,,,,,,,,,,,,,space,41.7974831804,,,,,,,,,,,,10,f,20,r,119.59056991,MaskierungsExperimentExpra,2016_Dez_14_1420,
0.133,16,1.133,0,0,0,0,,,,,,,,,,,,,,,,,,,0,a,a,1,12.5327522754,-1.0,2.64624206176,,,,,10,f,20,r,119.59056991,MaskierungsExperimentExpra,2016_Dez_14_1420,
0.067,8,1.067,0,1,1,1,,,,,,,,,,,,,,,,,,,90,s,s,1,7.99973437598,-1.0,2.61588842251,,,,,10,f,20,r,119.59056991,MaskierungsExperimentExpra,2016_Dez_14_1420,
0.033,4,1.033,0,2,2,2,,,,,,,,,,,,,,,,,,,0,a,s,0,9.64120097986,-1.0,2.49097167062,,,,,10,f,20,r,119.59056991,MaskierungsExperimentExpra,2016_Dez_14_1420,
0.017,2,1.017,0,3,3,3,,,,,,,,,,,,,,,,,,,0,a,a,1,4.44158517228,-1.0,1.91604837437,,,,,10,f,20,r,119.59056991,MaskierungsExperimentExpra,2016_Dez_14_1420,
0.0083,1,1.0083,0,4,4,4,,,,,,,,,,,,,,,,,,,90,s,s,1,4.96656441639,-1.52590218967e-05,1.47435829985,,,,,10,f,20,r,119.59056991,MaskierungsExperimentExpra,2016_Dez_14_1420,
0.133,16,1.133,1,0,5,0,,,,,,,,,,,,,,,,,,,0,a,a,1,3.9999839599,1.0,1.17433180161,,,,,10,f,20,r,119.59056991,MaskierungsExperimentExpra,2016_Dez_14_1420,
0.067,8,1.067,1,1,6,1,,,,,,,,,,,,,,,,,,,90,s,s,1,4.24991434588,-1.52590218967e-05,0.474427593074,,,,,10,f,20,r,119.59056991,MaskierungsExperimentExpra,2016_Dez_14_1420,
0.033,4,1.033,1,2,7,2,,,,,,,,,,,,,,,,,,,0,a,a,1,3.80823934905,-1.52590218967e-05,0.749428651721,,,,,10,f,20,r,119.59056991,MaskierungsExperimentExpra,2016_Dez_14_1420,
0.017,2,1.017,1,3,8,3,,,,,,,,,,,,,,,,,,,0,a,s,0,2.1917359492,-1.0,1.79098950721,,,,,10,f,20,r,119.59056991,MaskierungsExperimentExpra,2016_Dez_14_1420,
0.0083,1,1.0083,1,4,9,4,,,,,,,,,,,,,,,,,,,0,a,a,1,5.43312754957,-1.0,1.60773909049,,,,,10,f,20,r,119.59056991,MaskierungsExperimentExpra,2016_Dez_14_1420,
