SOA,nFrames,MaskOnsetTime,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,WarEsEinFehler_Training.thisRepN,WarEsEinFehler_Training.thisTrialN,WarEsEinFehler_Training.thisN,WarEsEinFehler_Training.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WarEsEinFehler.thisRepN,WarEsEinFehler.thisTrialN,WarEsEinFehler.thisN,WarEsEinFehler.thisIndex,key_resp_4.keys,key_resp_4.rt,Orientrierung,expectedAnswer,SenktOderWaag.keys,SenktOderWaag.corr,SenktOderWaag.rt,Rating1,Rating1RT,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,participant,gender,age,handedness,frameRate,expName,date,
,,,,,,,,,,,,,,,,,,,,,,,space,76.6010374097,,,,,,,,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.133,16,1.133,0,0,0,0,,,,,,,,,,,,,,,,,,,90,s,a,0,6.608073882,-1.0,5.42394601286,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.067,8,1.067,0,1,1,1,,,,,,,,,,,,,,,,,,,0,a,s,0,7.11636902117,-1.0,2.16603591636,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.033,4,1.033,0,2,2,2,,,,,,,,,,,,,,,,,,,0,a,s,0,5.75815984091,-0.0468909742885,2.30763730248,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.017,2,1.017,0,3,3,3,,,,,,,,,,,,,,,,,,,0,a,a,1,4.42497899548,-1.0,2.324254849,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.0083,1,1.0083,0,4,4,4,,,,,,,,,,,,,,,,,,,0,a,a,1,2.31669771496,-1.0,1.08276211854,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.133,16,1.133,1,0,5,0,,,,,,,,,,,,,,,,,,,90,s,s,1,3.16667110443,1.0,2.32428725001,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.067,8,1.067,1,1,6,1,,,,,,,,,,,,,,,,,,,90,s,s,1,2.27504028472,0.563469901579,1.4410338552,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.033,4,1.033,1,2,7,2,,,,,,,,,,,,,,,,,,,90,s,a,0,4.09992374535,-1.0,0.941083739924,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.017,2,1.017,1,3,8,3,,,,,,,,,,,,,,,,,,,0,a,a,1,3.69163126883,-1.0,1.00766877316,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.0083,1,1.0083,1,4,9,4,,,,,,,,,,,,,,,,,,,0,a,a,1,3.39162424327,-1.0,0.774428354795,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.133,16,1.133,2,0,10,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.4667570473,1.0,1.10774329548,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.067,8,1.067,2,1,11,1,,,,,,,,,,,,,,,,,,,0,a,a,1,1.50009223059,0.420614938582,2.82428773121,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.033,4,1.033,2,2,12,2,,,,,,,,,,,,,,,,,,,0,a,s,0,1.38344635724,0.436514839399,1.04106747526,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.017,2,1.017,2,3,13,3,,,,,,,,,,,,,,,,,,,90,s,s,1,1.62507607019,-1.52590218967e-05,0.857722042341,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.0083,1,1.0083,2,4,14,4,,,,,,,,,,,,,,,,,,,0,a,a,1,3.88316485344,-0.718776226444,2.27442819439,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.133,16,1.133,3,0,15,0,,,,,,,,,,,,,,,,,,,0,a,a,1,1.3834858159,1.0,1.8409774582,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.067,8,1.067,3,1,16,1,,,,,,,,,,,,,,,,,,,0,a,s,0,4.98316462888,-0.0468909742885,0.732796909521,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.033,4,1.033,3,2,17,2,,,,,,,,,,,,,,,,,,,90,s,s,1,1.15022743262,-0.203143358511,1.12426460139,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.017,2,1.017,3,3,18,3,,,,,,,,,,,,,,,,,,,90,s,s,1,1.32509535039,-0.890653849088,1.46601246573,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.0083,1,1.0083,3,4,19,4,,,,,,,,,,,,,,,,,,,90,s,s,1,1.86672471045,-0.726588845655,1.29110123968,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.133,16,1.133,4,0,20,0,,,,,,,,,,,,,,,,,,,0,a,a,1,1.13346616677,1.0,2.3159403013,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.067,8,1.067,4,1,21,1,,,,,,,,,,,,,,,,,,,0,a,s,0,1.03348916828,-0.0547035934997,2.26596126572,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.033,4,1.033,4,2,22,2,,,,,,,,,,,,,,,,,,,0,a,a,1,2.37501215038,0.40474555581,1.17439698035,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.017,2,1.017,4,3,23,3,,,,,,,,,,,,,,,,,,,0,a,a,1,1.10023556495,-0.695338368811,1.24929174926,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
0.0083,1,1.0083,4,4,24,4,,,,,,,,,,,,,,,,,,,90,s,a,0,1.38343416677,-0.523460746166,0.707705697477,,,,,33,f,21,r,119.700287234,MaskierungsExperimentExpra,2017_Jan_18_1326,
