SOA,nFrames,MaskOnsetTime,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,WarEsEinFehler_Training.thisRepN,WarEsEinFehler_Training.thisTrialN,WarEsEinFehler_Training.thisN,WarEsEinFehler_Training.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WarEsEinFehler.thisRepN,WarEsEinFehler.thisTrialN,WarEsEinFehler.thisN,WarEsEinFehler.thisIndex,key_resp_4.keys,key_resp_4.rt,Orientrierung,expectedAnswer,SenktOderWaag.keys,SenktOderWaag.corr,SenktOderWaag.rt,Rating1,Rating1RT,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,participant,gender,age,handedness,frameRate,expName,date,
,,,,,,,,,,,,,,,,,,,,,,,space,14.1283126379,,,,,,,,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.133,16,1.133,0,0,0,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.97508846907,0.436514839399,8.09040543233,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.067,8,1.067,0,1,1,1,,,,,,,,,,,,,,,,,,,0,a,a,1,2.57500679297,-0.664087891966,4.79081615467,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.033,4,1.033,0,2,2,2,,,,,,,,,,,,,,,,,,,0,a,s,0,3.54998137746,-1.0,1.03269834925,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.017,2,1.017,0,3,3,3,,,,,,,,,,,,,,,,,,,0,a,s,0,5.81647066221,-1.0,1.21604065968,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.0083,1,1.0083,0,4,4,4,,,,,,,,,,,,,,,,,,,0,a,a,1,4.0331962334,-1.0,1.24110777941,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.133,16,1.133,1,0,5,0,,,,,,,,,,,,,,,,,,,0,a,a,1,3.23334117159,-0.890653849088,5.70739425335,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.067,8,1.067,1,1,6,1,,,,,,,,,,,,,,,,,,,0,a,s,0,3.21661264902,-1.0,1.54109709671,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.033,4,1.033,1,2,7,2,,,,,,,,,,,,,,,,,,,90,s,a,0,4.66657256485,-1.0,1.20769981692,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.017,2,1.017,1,3,8,3,,,,,,,,,,,,,,,,,,,90,s,s,1,2.55000319198,-1.0,1.83269263898,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.0083,1,1.0083,1,4,9,4,,,,,,,,,,,,,,,,,,,90,s,s,1,3.63326693809,-1.0,1.49938422124,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.133,16,1.133,2,0,10,0,,,,,,,,,,,,,,,,,,,90,s,s,1,2.72500626365,-0.929716945144,2.20766196232,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.067,8,1.067,2,1,11,1,,,,,,,,,,,,,,,,,,,0,a,a,1,3.47494458954,-1.0,1.01605997194,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.033,4,1.033,2,2,12,2,,,,,,,,,,,,,,,,,,,0,a,s,0,4.09159560643,-1.0,1.26602412236,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.017,2,1.017,2,3,13,3,,,,,,,,,,,,,,,,,,,0,a,s,0,2.45830813704,-1.0,1.01608499447,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.0083,1,1.0083,2,4,14,4,,,,,,,,,,,,,,,,,,,90,s,s,1,4.21656356636,-1.0,1.23274736774,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.133,16,1.133,3,0,15,0,,,,,,,,,,,,,,,,,,,0,a,a,1,4.24155914732,-1.0,1.07440512949,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.067,8,1.067,3,1,16,1,,,,,,,,,,,,,,,,,,,90,s,a,0,1.9251043648,-1.0,1.03268583799,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.033,4,1.033,3,2,17,2,,,,,,,,,,,,,,,,,,,90,s,s,1,4.29154902603,-1.0,1.14107829774,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.017,2,1.017,3,3,18,3,,,,,,,,,,,,,,,,,,,0,a,s,0,3.09997109577,-1.0,1.05772729358,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.0083,1,1.0083,3,4,19,4,,,,,,,,,,,,,,,,,,,90,s,a,0,3.67495543263,-1.0,0.957728288064,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.133,16,1.133,4,0,20,0,,,,,,,,,,,,,,,,,,,0,a,a,1,2.19175180475,-0.953154802777,3.69918205205,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.067,8,1.067,4,1,21,1,,,,,,,,,,,,,,,,,,,0,a,a,1,1.57511265752,-0.968780041199,7.5989809415,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.033,4,1.033,4,2,22,2,,,,,,,,,,,,,,,,,,,0,a,a,1,2.71674722531,-1.0,0.707671105171,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.017,2,1.017,4,3,23,3,,,,,,,,,,,,,,,,,,,90,s,s,1,2.00018542335,-1.0,0.824292127111,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.0083,1,1.0083,4,4,24,4,,,,,,,,,,,,,,,,,,,90,s,s,1,3.24994682713,-1.0,1.11607116792,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.133,16,1.133,5,0,25,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.85009131619,-0.929716945144,2.38260472329,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.067,8,1.067,5,1,26,1,,,,,,,,,,,,,,,,,,,0,a,a,1,2.5833011195,-0.90627908751,2.87429483788,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.033,4,1.033,5,2,27,2,,,,,,,,,,,,,,,,,,,0,a,s,0,4.30818772414,-1.0,1.43274666198,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.017,2,1.017,5,3,28,3,,,,,,,,,,,,,,,,,,,90,s,s,1,3.28328325085,-1.0,0.907740013365,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.0083,1,1.0083,5,4,29,4,,,,,,,,,,,,,,,,,,,90,s,a,0,2.79998659049,-1.0,0.907774339141,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
0.133,16,1.133,6,0,30,0,,,,,,,,,,,,,,,,,,,0,a,a,1,2.43332314253,-0.90627908751,1.44945144523,,,,,30,f,19,r,120.316772296,MaskierungsExperimentExpra,2017_Jan_16_1314,
