SOA,nFrames,MaskOnsetTime,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,WarEsEinFehler_Training.thisRepN,WarEsEinFehler_Training.thisTrialN,WarEsEinFehler_Training.thisN,WarEsEinFehler_Training.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WarEsEinFehler.thisRepN,WarEsEinFehler.thisTrialN,WarEsEinFehler.thisN,WarEsEinFehler.thisIndex,key_resp_4.keys,key_resp_4.rt,Orientrierung,expectedAnswer,SenktOderWaag.keys,SenktOderWaag.corr,SenktOderWaag.rt,Rating1,Rating1RT,key_resp_3.keys,key_resp_3.rt,participant,gender,age,handedness,frameRate,expName,date,
,,,,,,,,,,,,,,,,,,,,,,,space,20.3125965815,,,,,,,,,,26,f,21,r,119.70580329,MaskierungsExperimentExpra,2017_Jan_12_1149,
0.133,16,1.133,0,0,0,0,,,,,,,,,,,,,,,,,,,90,s,a,0,4.14157796757,-1.0,2.54914896026,,,26,f,21,r,119.70580329,MaskierungsExperimentExpra,2017_Jan_12_1149,
0.067,8,1.067,0,1,1,1,,,,,,,,,,,,,,,,,,,90,s,s,1,3.17498693534,-0.179705500877,1.99103775295,,,26,f,21,r,119.70580329,MaskierungsExperimentExpra,2017_Jan_12_1149,
0.033,4,1.033,0,2,2,2,,,,,,,,,,,,,,,,,,,0,a,a,1,3.34162339314,-1.0,1.55765053556,,,26,f,21,r,119.70580329,MaskierungsExperimentExpra,2017_Jan_12_1149,
0.017,2,1.017,0,3,3,3,,,,,,,,,,,,,,,,,,,90,s,a,0,2.80830633517,-1.0,0.541123134416,,,26,f,21,r,119.70580329,MaskierungsExperimentExpra,2017_Jan_12_1149,
0.0083,1,1.0083,0,4,4,4,,,,,,,,,,,,,,,,,,,0,a,s,0,1.47509116392,-1.0,0.741071036162,,,26,f,21,r,119.70580329,MaskierungsExperimentExpra,2017_Jan_12_1149,
0.133,16,1.133,1,0,5,0,,,,,,,,,,,,,,,,,,,90,s,s,1,1.41688259318,1.0,1.72425715878,,,26,f,21,r,119.70580329,MaskierungsExperimentExpra,2017_Jan_12_1149,
0.067,8,1.067,1,1,6,1,,,,,,,,,,,,,,,,,,,90,s,s,1,1.35009288824,1.0,0.757756271921,,,26,f,21,r,119.70580329,MaskierungsExperimentExpra,2017_Jan_12_1149,
0.033,4,1.033,1,2,7,2,,,,,,,,,,,,,,,,,,,90,s,a,0,2.09991732931,-0.671900511177,0.616219687815,,,26,f,21,r,119.70580329,MaskierungsExperimentExpra,2017_Jan_12_1149,
0.017,2,1.017,1,3,8,3,,,,,,,,,,,,,,,,,,,0,a,s,0,1.4334055031,0.18254367895,0.60777329047,,,26,f,21,r,119.70580329,MaskierungsExperimentExpra,2017_Jan_12_1149,
