SOA,nFrames,MaskOnsetTime,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,WarEsEinFehler_Training.thisRepN,WarEsEinFehler_Training.thisTrialN,WarEsEinFehler_Training.thisN,WarEsEinFehler_Training.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WarEsEinFehler.thisRepN,WarEsEinFehler.thisTrialN,WarEsEinFehler.thisN,WarEsEinFehler.thisIndex,key_resp_4.keys,key_resp_4.rt,Orientrierung,expectedAnswer,SenktOderWaag.keys,SenktOderWaag.corr,SenktOderWaag.rt,Rating1,Rating1RT,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,participant,gender,age,handedness,frameRate,expName,date,
,,,,,,,,,,,,,,,,,,,,,,,space,29.8853030359,,,,,,,,,,,,17,f,22,r,120.041436251,MaskierungsExperimentExpra,2016_Dez_20_1011,
0.133,16,1.133,0,0,0,0,,,,,,,,,,,,,,,,,,,90,s,a,0,1.18326036158,-1.0,3.36588361048,,,,,17,f,22,r,120.041436251,MaskierungsExperimentExpra,2016_Dez_20_1011,
0.067,8,1.067,0,1,1,1,,,,,,,,,,,,,,,,,,,0,a,a,1,1.44176610458,-1.0,1.75769956769,,,,,17,f,22,r,120.041436251,MaskierungsExperimentExpra,2016_Dez_20_1011,
0.033,4,1.033,0,2,2,2,,,,,,,,,,,,,,,,,,,90,s,s,1,2.19173242037,-1.0,0.724420535431,,,,,17,f,22,r,120.041436251,MaskierungsExperimentExpra,2016_Dez_20_1011,
0.017,2,1.017,0,3,3,3,,,,,,,,,,,,,,,,,,,0,a,a,1,1.46677839129,-1.0,0.757726194249,,,,,17,f,22,r,120.041436251,MaskierungsExperimentExpra,2016_Dez_20_1011,
0.0083,1,1.0083,0,4,4,4,,,,,,,,,,,,,,,,,,,90,s,s,1,1.64178516021,-1.0,0.807695268941,,,,,17,f,22,r,120.041436251,MaskierungsExperimentExpra,2016_Dez_20_1011,
0.133,16,1.133,1,0,5,0,,,,,,,,,,,,,,,,,,,0,a,a,1,1.80003291428,1.0,1.10774582733,,,,,17,f,22,r,120.041436251,MaskierungsExperimentExpra,2016_Dez_20_1011,
0.067,8,1.067,1,1,6,1,,,,,,,,,,,,,,,,,,,90,s,s,1,1.42511102956,1.0,0.857723691994,,,,,17,f,22,r,120.041436251,MaskierungsExperimentExpra,2016_Dez_20_1011,
0.033,4,1.033,1,2,7,2,,,,,,,,,,,,,,,,,,,0,a,s,0,1.04183321635,1.0,0.632720580215,,,,,17,f,22,r,120.041436251,MaskierungsExperimentExpra,2016_Dez_20_1011,
0.017,2,1.017,1,3,8,3,,,,,,,,,,,,,,,,,,,90,s,a,0,1.33347298912,-1.0,0.807720291493,,,,,17,f,22,r,120.041436251,MaskierungsExperimentExpra,2016_Dez_20_1011,
0.0083,1,1.0083,1,4,9,4,,,,,,,,,,,,,,,,,,,90,s,s,1,1.43345188035,1.0,0.782730140113,,,,,17,f,22,r,120.041436251,MaskierungsExperimentExpra,2016_Dez_20_1011,
0.133,16,1.133,2,0,10,0,,,,,,,,,,,,,,,,,,,0,a,a,1,0.725165758369,1.0,2.55762437171,,,,,17,f,22,r,120.041436251,MaskierungsExperimentExpra,2016_Dez_20_1011,
0.067,8,1.067,2,1,11,1,,,,,,,,,,,,,,,,,,,0,a,a,1,0.608602368545,1.0,1.17421599211,,,,,17,f,22,r,120.041436251,MaskierungsExperimentExpra,2016_Dez_20_1011,
0.033,4,1.033,2,2,12,2,,,,,,,,,,,,,,,,,,,90,s,s,1,0.691777653449,1.0,1.29943461864,,,,,17,f,22,r,120.041436251,MaskierungsExperimentExpra,2016_Dez_20_1011,
0.017,2,1.017,2,3,13,3,,,,,,,,,,,,,,,,,,,0,a,s,0,0.941836360207,1.0,0.566059538276,,,,,17,f,22,r,120.041436251,MaskierungsExperimentExpra,2016_Dez_20_1011,
0.0083,1,1.0083,2,4,14,4,,,,,,,,,,,,,,,,,,,90,s,s,1,0.850210510242,-1.0,0.999355508875,,,,,17,f,22,r,120.041436251,MaskierungsExperimentExpra,2016_Dez_20_1011,
0.133,16,1.133,3,0,15,0,,,,,,,,,,,,,,,,,,,0,a,a,1,0.916849416846,1.0,1.72431434998,,,,,17,f,22,r,120.041436251,MaskierungsExperimentExpra,2016_Dez_20_1011,
0.067,8,1.067,3,1,16,1,,,,,,,,,,,,,,,,,,,90,s,s,1,1.37506881202,1.0,0.666115421976,,,,,17,f,22,r,120.041436251,MaskierungsExperimentExpra,2016_Dez_20_1011,
0.033,4,1.033,3,2,17,2,,,,,,,,,,,,,,,,,,,90,s,s,1,0.583527846251,1.0,0.666063772862,,,,,17,f,22,r,120.041436251,MaskierungsExperimentExpra,2016_Dez_20_1011,
