SOA,nFrames,MaskOnsetTime,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,WarEsEinFehler_Training.thisRepN,WarEsEinFehler_Training.thisTrialN,WarEsEinFehler_Training.thisN,WarEsEinFehler_Training.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WarEsEinFehler.thisRepN,WarEsEinFehler.thisTrialN,WarEsEinFehler.thisN,WarEsEinFehler.thisIndex,key_resp_4.keys,key_resp_4.rt,Orientrierung,expectedAnswer,SenktOderWaag.keys,SenktOderWaag.corr,SenktOderWaag.rt,Rating1,Rating1RT,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,participant,gender,age,handedness,frameRate,expName,date,
,,,,,,,,,,,,,,,,,,,,,,,space,79.0166522038,,,,,,,,,,,,08,m,20,r,119.685962979,MaskierungsExperimentExpra,2016_Dez_13_1905,
0.133,16,1.133,0,0,0,0,,,,,,,,,,,,,,,,,,,0,a,a,1,7.79135534144,-1.0,4.15735832169,,,,,08,m,20,r,119.685962979,MaskierungsExperimentExpra,2016_Dez_13_1905,
0.067,8,1.067,0,1,1,1,,,,,,,,,,,,,,,,,,,90,s,a,0,5.1248292931,-1.0,2.44933072628,,,,,08,m,20,r,119.685962979,MaskierungsExperimentExpra,2016_Dez_13_1905,
0.033,4,1.033,0,2,2,2,,,,,,,,,,,,,,,,,,,90,s,a,0,7.066364364,-1.0,3.80757863264,,,,,08,m,20,r,119.685962979,MaskierungsExperimentExpra,2016_Dez_13_1905,
0.017,2,1.017,0,3,3,3,,,,,,,,,,,,,,,,,,,0,a,a,1,15.124198275,-1.0,2.39100021333,,,,,08,m,20,r,119.685962979,MaskierungsExperimentExpra,2016_Dez_13_1905,
0.0083,1,1.0083,0,4,4,4,,,,,,,,,,,,,,,,,,,0,a,s,0,22.6903613356,-1.0,2.05768441719,,,,,08,m,20,r,119.685962979,MaskierungsExperimentExpra,2016_Dez_13_1905,
0.133,16,1.133,1,0,5,0,,,,,,,,,,,,,,,,,,,0,a,s,0,5.3831540316,0.365072098878,2.66597940129,,,,,08,m,20,r,119.685962979,MaskierungsExperimentExpra,2016_Dez_13_1905,
0.067,8,1.067,1,1,6,1,,,,,,,,,,,,,,,,,,,90,s,s,1,4.39156386291,0.253955901427,3.80756772537,,,,,08,m,20,r,119.685962979,MaskierungsExperimentExpra,2016_Dez_13_1905,
0.033,4,1.033,1,2,7,2,,,,,,,,,,,,,,,,,,,0,a,a,1,3.93324425724,-1.0,1.04110696029,,,,,08,m,20,r,119.685962979,MaskierungsExperimentExpra,2016_Dez_13_1905,
0.017,2,1.017,1,3,8,3,,,,,,,,,,,,,,,,,,,90,s,a,0,3.60827894398,-1.0,1.19940747822,,,,,08,m,20,r,119.685962979,MaskierungsExperimentExpra,2016_Dez_13_1905,
0.0083,1,1.0083,1,4,9,4,,,,,,,,,,,,,,,,,,,0,a,s,0,5.44148646936,-1.0,2.50765610639,,,,,08,m,20,r,119.685962979,MaskierungsExperimentExpra,2016_Dez_13_1905,
0.133,16,1.133,2,0,10,0,,,,,,,,,,,,,,,,,,,0,a,s,0,2.69999246115,1.0,1.38274661273,,,,,08,m,20,r,119.685962979,MaskierungsExperimentExpra,2016_Dez_13_1905,
0.067,8,1.067,2,1,11,1,,,,,,,,,,,,,,,,,,,0,a,a,1,3.49161118124,-1.0,1.14107889009,,,,,08,m,20,r,119.685962979,MaskierungsExperimentExpra,2016_Dez_13_1905,
0.033,4,1.033,2,2,12,2,,,,,,,,,,,,,,,,,,,0,a,s,0,3.89993279193,-1.0,1.60768963023,,,,,08,m,20,r,119.685962979,MaskierungsExperimentExpra,2016_Dez_13_1905,
0.017,2,1.017,2,3,13,3,,,,,,,,,,,,,,,,,,,0,a,a,1,3.84158752208,-1.0,1.04107712568,,,,,08,m,20,r,119.685962979,MaskierungsExperimentExpra,2016_Dez_13_1905,
0.0083,1,1.0083,2,4,14,4,,,,,,,,,,,,,,,,,,,90,s,a,0,3.11662734166,-1.0,0.782769068888,,,,,08,m,20,r,119.685962979,MaskierungsExperimentExpra,2016_Dez_13_1905,
0.133,16,1.133,3,0,15,0,,,,,,,,,,,,,,,,,,,0,a,a,1,2.04167381788,1.0,0.84942985418,,,,,08,m,20,r,119.685962979,MaskierungsExperimentExpra,2016_Dez_13_1905,
0.067,8,1.067,3,1,16,1,,,,,,,,,,,,,,,,,,,90,s,s,1,4.94983743345,1.0,1.12440743812,,,,,08,m,20,r,119.685962979,MaskierungsExperimentExpra,2016_Dez_13_1905,
0.033,4,1.033,3,2,17,2,,,,,,,,,,,,,,,,,,,0,a,a,1,1.23340385636,-1.0,1.15777953506,,,,,08,m,20,r,119.685962979,MaskierungsExperimentExpra,2016_Dez_13_1905,
0.017,2,1.017,3,3,18,3,,,,,,,,,,,,,,,,,,,90,s,s,1,2.00835497412,1.0,2.3660103587,,,,,08,m,20,r,119.685962979,MaskierungsExperimentExpra,2016_Dez_13_1905,
0.0083,1,1.0083,3,4,19,4,,,,,,,,,,,,,,,,,,,90,s,a,0,1.3917463994,-1.0,2.89096636869,,,,,08,m,20,r,119.685962979,MaskierungsExperimentExpra,2016_Dez_13_1905,
0.133,16,1.133,4,0,20,0,,,,,,,,,,,,,,,,,,,90,s,s,1,2.14170862493,1.0,0.916068824917,,,,,08,m,20,r,119.685962979,MaskierungsExperimentExpra,2016_Dez_13_1905,
0.067,8,1.067,4,1,21,1,,,,,,,,,,,,,,,,,,,90,s,s,1,1.48339768092,1.0,0.782766181667,,,,,08,m,20,r,119.685962979,MaskierungsExperimentExpra,2016_Dez_13_1905,
